Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_8.ltlf,Agent,0.019,0.001,0,0,0.02,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_9.ltlf,Agent,0.021,0.001,0,0,0.022,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_10.ltlf,Agent,0.021,0.001,0,0,0.022,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_1.ltlf,Agent,0.017,0.003,0.001,0.001,0.022,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_2.ltlf,Agent,0.019,0.003,0.001,0.001,0.024,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_3.ltlf,Agent,0.021,0.002,0.001,0.001,0.025,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_4.ltlf,Agent,0.019,0.003,0.001,0.001,0.024,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_5.ltlf,Agent,0.019,0.003,0.002,0.001,0.025,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_6.ltlf,Agent,0.021,0.002,0.003,0.001,0.027,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_7.ltlf,Agent,0.023,0.002,0.002,0.001,0.028,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_8.ltlf,Agent,0.025,0.003,0.002,0.001,0.031,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_9.ltlf,Agent,0.031,0.003,0.003,0.001,0.038,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_3.ltlf,env_10.ltlf,Agent,0.03,0.002,0.002,0.001,0.035,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_1.ltlf,Agent,0.022,0.01,0.001,0.003,0.036,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_2.ltlf,Agent,0.028,0.007,0.002,0.006,0.043,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_3.ltlf,Agent,0.027,0.007,0.002,0.003,0.039,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_4.ltlf,Agent,0.025,0.008,0.003,0.007,0.043,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_5.ltlf,Agent,0.025,0.01,0.003,0.007,0.045,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_6.ltlf,Agent,0.026,0.009,0.006,0.007,0.048,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_7.ltlf,Agent,0.026,0.009,0.01,0.003,0.048,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_8.ltlf,Agent,0.031,0.01,0.01,0.004,0.055,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_9.ltlf,Agent,0.031,0.01,0.009,0.003,0.053,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_4.ltlf,env_10.ltlf,Agent,0.036,0.007,0.007,0.005,0.055,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_1.ltlf,Agent,0.057,0.028,0.003,0.015,0.103,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_2.ltlf,Agent,0.06,0.03,0.005,0.014,0.109,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_3.ltlf,Agent,0.06,0.029,0.008,0.014,0.111,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_4.ltlf,Agent,0.06,0.028,0.008,0.018,0.114,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_5.ltlf,Agent,0.063,0.028,0.009,0.016,0.116,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_6.ltlf,Agent,0.063,0.027,0.01,0.018,0.118,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_7.ltlf,Agent,0.062,0.029,0.012,0.014,0.117,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_8.ltlf,Agent,0.063,0.029,0.013,0.018,0.123,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_9.ltlf,Agent,0.073,0.027,0.017,0.014,0.131,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_5.ltlf,env_10.ltlf,Agent,0.067,0.03,0.015,0.019,0.131,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_6.ltlf,env_1.ltlf,Agent,0.344,0.076,0.009,0.08,0.509,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_6.ltlf,env_2.ltlf,Agent,0.338,0.075,0.012,0.083,0.508,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_6.ltlf,env_3.ltlf,Agent,0.341,0.074,0.015,0.082,0.512,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_6.ltlf,env_4.ltlf,Agent,0.34,0.075,0.021,0.088,0.524,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_6.ltlf,env_5.ltlf,Agent,0.345,0.077,0.022,0.088,0.532,Coop
